"train/global_step","SmolLM-14m-Dolma-v0.1-Base-untied-162m-zloss-lr6e4 - _step","SmolLM-14m-Dolma-v0.1-Base-untied-162m-zloss-lr6e4 - _step__MIN","SmolLM-14m-Dolma-v0.1-Base-untied-162m-zloss-lr6e4 - _step__MAX","SmolLM-14m-Dolma-v0.1-Base-untied-162m-zloss-lr6e4 - train/loss","MIN","MAX"
"3845","3844","3844","3844","3.4532","3.4532","3.4532"
"3855","3854","3854","3854","3.4671","3.4671","3.4671"
"3878","3877","3877","3877","3.4731","3.4731","3.4731"
"3879","3878","3878","3878","3.4733","3.4733","3.4733"
"3896","3895","3895","3895","3.4477","3.4477","3.4477"
"3904","3903","3903","3903","3.4391","3.4391","3.4391"
"3909","3908","3908","3908","3.4335","3.4335","3.4335"
"3936","3935","3935","3935","3.3906","3.3906","3.3906"
"3942","3941","3941","3941","3.4492","3.4492","3.4492"
"3949","3948","3948","3948","3.4126","3.4126","3.4126"
"3950","3949","3949","3949","3.4436","3.4436","3.4436"
"3959","3958","3958","3958","3.4273","3.4273","3.4273"
"3960","3959","3959","3959","3.4478","3.4478","3.4478"
"3964","3963","3963","3963","3.4427","3.4427","3.4427"
"3979","3978","3978","3978","3.4329","3.4329","3.4329"
"3982","3981","3981","3981","3.4041","3.4041","3.4041"
"3983","3982","3982","3982","3.4253","3.4253","3.4253"
"3989","3988","3988","3988","3.4337","3.4337","3.4337"
"4074","4073","4073","4073","3.4364","3.4364","3.4364"
"4085","4084","4084","4084","3.4239","3.4239","3.4239"
"4109","4108","4108","4108","3.3963","3.3963","3.3963"
"4111","4110","4110","4110","3.3908","3.3908","3.3908"
"4114","4113","4113","4113","3.396","3.396","3.396"
"4129","4128","4128","4128","3.4379","3.4379","3.4379"
"4132","4131","4131","4131","3.3974","3.3974","3.3974"
"4163","4162","4162","4162","3.4167","3.4167","3.4167"
"4179","4178","4178","4178","3.3889","3.3889","3.3889"
"4205","4204","4204","4204","3.4192","3.4192","3.4192"
"4245","4244","4244","4244","3.393","3.393","3.393"
"4253","4252","4252","4252","3.3819","3.3819","3.3819"
"4254","4253","4253","4253","3.4097","3.4097","3.4097"
"4261","4260","4260","4260","3.4112","3.4112","3.4112"
"4266","4265","4265","4265","3.399","3.399","3.399"
"4282","4281","4281","4281","3.3969","3.3969","3.3969"
"4292","4291","4291","4291","3.3902","3.3902","3.3902"
"4294","4293","4293","4293","3.4115","3.4115","3.4115"
"4305","4304","4304","4304","3.4044","3.4044","3.4044"
"4308","4307","4307","4307","3.3944","3.3944","3.3944"
"4316","4315","4315","4315","3.4037","3.4037","3.4037"
"4338","4337","4337","4337","3.3944","3.3944","3.3944"
"4357","4356","4356","4356","3.3861","3.3861","3.3861"
"4358","4357","4357","4357","3.3818","3.3818","3.3818"
"4360","4359","4359","4359","3.4037","3.4037","3.4037"
"4362","4361","4361","4361","3.3824","3.3824","3.3824"
"4368","4367","4367","4367","3.3885","3.3885","3.3885"
"4402","4401","4401","4401","3.4093","3.4093","3.4093"
"4408","4407","4407","4407","3.3692","3.3692","3.3692"
"4411","4410","4410","4410","3.3686","3.3686","3.3686"
"4417","4416","4416","4416","3.3536","3.3536","3.3536"
"4418","4417","4417","4417","3.3853","3.3853","3.3853"
"4419","4418","4418","4418","3.4019","3.4019","3.4019"
"4425","4424","4424","4424","3.3656","3.3656","3.3656"
"4426","4425","4425","4425","3.3898","3.3898","3.3898"
"4453","4452","4452","4452","3.4329","3.4329","3.4329"
"4462","4461","4461","4461","3.3721","3.3721","3.3721"
"4493","4492","4492","4492","3.4002","3.4002","3.4002"
"4494","4493","4493","4493","3.3791","3.3791","3.3791"
"4495","4494","4494","4494","3.3838","3.3838","3.3838"
"4499","4498","4498","4498","3.352","3.352","3.352"
"4516","4515","4515","4515","3.3949","3.3949","3.3949"
"4548","4547","4547","4547","3.3746","3.3746","3.3746"
"4562","4561","4561","4561","3.4016","3.4016","3.4016"
"4576","4575","4575","4575","3.3758","3.3758","3.3758"
"4582","4581","4581","4581","3.3931","3.3931","3.3931"
"4584","4583","4583","4583","3.3669","3.3669","3.3669"
"4608","4607","4607","4607","3.3519","3.3519","3.3519"
"4609","4608","4608","4608","3.3727","3.3727","3.3727"
"4619","4618","4618","4618","3.355","3.355","3.355"
"4624","4623","4623","4623","3.3519","3.3519","3.3519"
"4632","4631","4631","4631","3.3637","3.3637","3.3637"
"4641","4640","4640","4640","3.3896","3.3896","3.3896"
"4661","4660","4660","4660","3.3664","3.3664","3.3664"
"4674","4673","4673","4673","3.3435","3.3435","3.3435"
"4691","4690","4690","4690","3.3487","3.3487","3.3487"
"4692","4691","4691","4691","3.3603","3.3603","3.3603"
"4701","4700","4700","4700","3.3857","3.3857","3.3857"
"4723","4722","4722","4722","3.3727","3.3727","3.3727"
"4725","4724","4724","4724","3.3805","3.3805","3.3805"
"4728","4727","4727","4727","3.3679","3.3679","3.3679"
"4734","4733","4733","4733","3.3898","3.3898","3.3898"
"4737","4736","4736","4736","3.3605","3.3605","3.3605"
"4740","4739","4739","4739","3.4024","3.4024","3.4024"
"4744","4743","4743","4743","3.3528","3.3528","3.3528"
"4747","4746","4746","4746","3.339","3.339","3.339"
"4754","4753","4753","4753","3.3778","3.3778","3.3778"
"4758","4757","4757","4757","3.3411","3.3411","3.3411"
"4760","4759","4759","4759","3.3358","3.3358","3.3358"
"4766","4765","4765","4765","3.356","3.356","3.356"
"4767","4766","4766","4766","3.3547","3.3547","3.3547"
"4769","4768","4768","4768","3.3171","3.3171","3.3171"
