"train/global_step","SmolLM-14m-Dolma-v0.1-Base-tied-123m-lr-6e4 - _step","SmolLM-14m-Dolma-v0.1-Base-tied-123m-lr-6e4 - _step__MIN","SmolLM-14m-Dolma-v0.1-Base-tied-123m-lr-6e4 - _step__MAX","SmolLM-14m-Dolma-v0.1-Base-tied-123m-lr-6e4 - train/loss","MIN","MAX"
"3553","3552","3552","3552","3.502","3.502","3.502"
"3559","3558","3558","3558","3.5119","3.5119","3.5119"
"3560","3559","3559","3559","3.5169","3.5169","3.5169"
"3579","3578","3578","3578","3.527","3.527","3.527"
"3580","3579","3579","3579","3.4888","3.4888","3.4888"
"3583","3582","3582","3582","3.5018","3.5018","3.5018"
"3623","3622","3622","3622","3.4729","3.4729","3.4729"
"3627","3626","3626","3626","3.4907","3.4907","3.4907"
"3636","3635","3635","3635","3.4999","3.4999","3.4999"
"3658","3657","3657","3657","3.5261","3.5261","3.5261"
"3660","3659","3659","3659","3.5045","3.5045","3.5045"
"3672","3671","3671","3671","3.496","3.496","3.496"
"3688","3687","3687","3687","3.5058","3.5058","3.5058"
"3724","3723","3723","3723","3.4853","3.4853","3.4853"
"3729","3728","3728","3728","3.4848","3.4848","3.4848"
"3737","3736","3736","3736","3.4866","3.4866","3.4866"
"3739","3738","3738","3738","3.4756","3.4756","3.4756"
"3742","3741","3741","3741","3.4774","3.4774","3.4774"
"3744","3743","3743","3743","3.4976","3.4976","3.4976"
"3747","3746","3746","3746","3.496","3.496","3.496"
"3772","3771","3771","3771","3.4832","3.4832","3.4832"
"3809","3808","3808","3808","3.4588","3.4588","3.4588"
"3820","3819","3819","3819","3.5031","3.5031","3.5031"
"3823","3822","3822","3822","3.4758","3.4758","3.4758"
"3841","3840","3840","3840","3.4728","3.4728","3.4728"
"3847","3846","3846","3846","3.4872","3.4872","3.4872"
"3862","3861","3861","3861","3.4527","3.4527","3.4527"
"3863","3862","3862","3862","3.4527","3.4527","3.4527"
"3871","3870","3870","3870","3.4401","3.4401","3.4401"
"3877","3876","3876","3876","3.4645","3.4645","3.4645"
"3890","3889","3889","3889","3.4664","3.4664","3.4664"
"3903","3902","3902","3902","3.4793","3.4793","3.4793"
"3924","3923","3923","3923","3.4536","3.4536","3.4536"
"3966","3965","3965","3965","3.5022","3.5022","3.5022"
"3978","3977","3977","3977","3.4673","3.4673","3.4673"
"3981","3980","3980","3980","3.4819","3.4819","3.4819"
"3999","3998","3998","3998","3.466","3.466","3.466"
"4011","4010","4010","4010","3.4559","3.4559","3.4559"
"4012","4011","4011","4011","3.4489","3.4489","3.4489"
"4013","4012","4012","4012","3.4459","3.4459","3.4459"
"4021","4020","4020","4020","3.4311","3.4311","3.4311"
"4037","4036","4036","4036","3.4111","3.4111","3.4111"
